Alnavar Junction, LWR   
Muri Junction, AMY   
Murtizapur Junction, MZR
Muzaffarpur Junction, MFP   
Nadiad Junction, ND    
Nagbhir Junction, NAB   
Nagda Junction, NAD   
Nagapattinam Junction, NGT
Nagercoil Junction, NCJ   
Nagpur Junction, CABO  
Naihati Junction, NH    
Naini Junction, NNT   
Nainpur Junction, NIR   
Nalhati Junction, NHT   
Nandyal Junction, NDL   
Narkatiaganj Junction, NKE   
Narkher Junction, NRKR  
Naupada Junction, NWP   
Neral Junction, NRF   
New Cooch Behar, GSW   
New Farakka Junction, GSW   
New Jalpaiguri Jn, GSW   
Nidadavolu Junction, NDD   
Nidamangalam Junction, NMJ   
Nizamabad Junction, NZB   
Omalur Junction, OML   
Pachora Junction, PC    
Pakala Junction, PAK   
Palakkad Junction, PGT
Palanpur Junction, PNU   
Panipat Junction, PNP   
Panskura Jn, PKU   
Panvel Junction, PNVL  
Parbhani, PBN   
Patna Junction, CPT   
Peddapalli Junction, PDPL  
Penukonda Junction, PKD   
Peralam Junction, PEM   
Phagwara, PGW   
Phaphamau, PFM   
Phillaur Junction, PHR   
Phulera Junction, FL    
Pilibhit Jn, PBE   
Podanur Junction, PTJ   
Pollachi Junction, POY   
Prachi Road Junction, PCC   
Pratapgarh Junction,
Pulgaon Jn, PLO   
Pune Junction, PUNE  
Puntamba Junction, PB    
Purna Junction, KTP   
Purulia Junction, PRR   
Raichur Junction, RC    
Raipur Junction, QRP   
Raj Athgarh Junction, ADRA  
Rajkharswan Junction, RKSN
Rajkot Junction, RJT   
Rajpura Junction, MGRP  
Rajula Junction, RJU   
Ramganj Mandi Junction, RMA   
Rampurhat Junction, RPH   
Ranaghat Junction, RHA   
Ranchi Junction, RNC   
Rangiya Junction, RNY   
Raniganj Junction, RNG   
Raninagar Jalpaiguri Jn, RQJ
Ratlam Junction, RTM   
Renigunta Junction, RU    
Rewari Junction, RE    
Rohtak Junction, ROK   
Rourkela Junction, ROU
Sakri Junction, SGK   
Saharanpur Junction, SRE   
Saharsa Junction, SHC   
Sainthia Junction, SNT   
Salem Junction, CHSM  
Samastipur Junction, SPJ   
Sambalpur Junction, SBP   
Santragachi Jn, SRC   
Sarupsar Junction, SRPR  
Sasaram Junction, SSM   
Satna Junction, STA   
Secunderabad, SC    
Sewagram Junction, SEGM
Sheoraphuli Jn, SHE
Shikohabad Junction, SKB   
Shoranur Junction, SRR   
Sihor Junction, SHR   
Singapur Road Junction, SPRD  
Sirhind Junction, SIR   
Sitapur Cantonment, RJC   
Sitapur City Junction, RJC   
Sitarampur Jn, STN   
Solapur Junction, SUR   
Sonipat Junction, SNP   
Sonarpur Junction, SPR   
Sonnagar Jn, SEB   
Sultanpur Jn, SLN   
Surendranagar Jn, SRGT  
Tadali Jn, TAE   
Talala Jn, TAV   
Talvadiya Jn, TLV
Tatanagar Jn, TATA  
Tenali Junction, TEL   
Tenkasi Junction, TSI   
Thanjavur Junction, TJ    
Thiruthuraipoondi Junction, TTP
Thiruvarur Junction, TVR   
Tilaiya Jn, TIA
Tiruchirappalli Junction, TPJ
Tirunelveli Junction, TEN   
Titlagarh Jn, TIG   
Tori Jn, TORI  
Tumsar Road, TMR   
Udhna Jn, UDN   
Ujjain Junction, UJN   
Unnao Junction, ON    
Vanchi Maniyachchi Junction, GLV   
Varanasi Junction, BCY   
Vasad Jn, VDA   
Veraval Junction, VRL   
Vijayawada Junction, BZA   
Vikarabad Jn, VKB   
Viluppuram Junction, VM
Viramgam Jn, VG    
Virudhunagar Junction, VPT
Visavadar Jn, VSW   
Vishakapattanam Jn, VSKP
Vizianagram Junction, VZM   
Vriddhachalam Junction, VRI
Wadi Junction, BAND  
Wardha Junction, WR    
Yerraguntla Junction, YA    
Yeshvantapur, YPR
Zafarabad Jn, ZBD   
