Alnavar Junction
Ambliyasan Jn
Abohar Junction
Achhnera Junction
Adra Junction
Agra Cantt
Ahmadpur Junction
Ajmer Junction
Akola Junction
Aligarh Junction
Alipurduar Junction
Allahabad Junction
Ambala Cantt
Amla Junction
Amritsar Jn
Anand Jn
Andal Junction
Ankleshwar
Anuppur Jn
Arakkonam Jn
Ara Junction
Asansol Junction
Aunrihar Jn
Ayodhya Jn
Azimganj Jn
Badarpur Jn
Badnera Junction
Bakhtiyarpur Jn
Balaghat Jn
Balamu Jn
Balangir Jn
Balharshah Junction
Ballari
Ballygunge Jn
Bandel Jn
Bangarapet
Bankura Junction
Barang Junction
Barauni Jn
Barddhaman Junction
Bareilly Junction
Bargarh Road Jn
Barharwa Jn
Barhiya Jn
Barsoi Junction
Baruipur Junction
Batala Jn
Bathinda Junction
Bengaluru
Bhagalpur
Bharuch
Bhilai Jn
Bhildi
Bhimavaram Junction
Birur Junction
Bhiwani
Bhojipura Junction
Bhopal Jn
Bhusaval Jn
Bihar Sharif Junction
Bikaner Junction
Bilaspur Jn
Billimora Jn
Bimalgarh Jn
Bina Jn
Bokaro Steel City Jn
Bondamunda Jn
Chalisgaon Junction
Chhapra Junction
Champa Jn
Chandigarh Jn
Chandil Jn
Chandrapura Jn
Chengalpattu Junction
Chhindwara Junction
Chikkbanvara Junction
Chittaurgarh Jn
Coimbatore North Junction
Cuddalore Port Junction
Dabhoi Junction
Dahod Jn
Damodar Jn
Dankuni Jn
Daund Jn
Deoghar Jn
Delhi Jn
Dewas Jn
Dharmapuri Jn
Dharmavaram Junction
Dhasa Jn
Dhola Jn
Dhone Junction
Dhrangadhra Jn
Dhuri Jn
Dindigul Junction
Diva Jn
Dornakal Jn
Dum Dum Junction
Duvvada Junction
Durg Jn
Ernakulam Junction
Erode Junction
Etawah Junction
Faizabad Jn
Farrukhabad Junction
Fatuha Jn
Fazilka Jn
Firozpur Cantt Jn
Firozpur City Jn
Gadag Junction
Gadwal Jn
Gandhidham Jn
Garwa Road
Gaya Jn
Ghazipur City Jn
Godhani
Godhra
Gomoh
Gondia Junction
Gooty Junction
Gorakhpur Jn
Gudivada Junction
Gudur Junction
Guntakal Junction
Guntur Junction
Gwalior Junction
Hajipur Jn
Hanumangarh Jn
Hapur Jn
Hassan Jn
Hathras Jn
Hisar Jn
Hotgi
Howrah Junction
Hubli Junction
Hussain Sagar Jn
Indara Jn
Indore Jn
Irugur Junction
Itarsi Jn
Itwari
Jabalpur Junction
Jaipur Junction
Jakhal Jn
Jalandhar City Junction
Jalgaon Jn
Jamalpur
Janghai Jn
Jankampet Junction
Jasidih Jn
Jaunpur Junction
Jetalsar
Jhansi Jn
Jharsuguda Jn
Jind Junction
Jodhpur Jn
Jolarpettai Junction
Junagadh Jn
Kadur Jn
Kalaburagi Jn
Kalamna
Kalinarayanpur Junction
Kalol
Kalyan Junction
Kalyani Jn
Kamakhya Junction
Kanalus Junction
Kanhan Junction
Kanpur Central
Karaikudi Junction
Karimganj Junction
Karjat Junction
Karur Junction
Katihar Junction
Katni Junction
Katpadi Junction
Katwa Junction
Kayamkulam Junction
Kazipet Junction
Khanapur Junction
Khagaria Junction
Khana Junction
Kharagpur Junction
Khijadiya Junction
Khurda Road Junction
Kiul Junction
Koderma Junction
Kollam Junction
Koraput Junction
Kosamba Junction
Kota Junction
Kotkapura Junction
Kotshila Junction
Kottavalasa Junction
Krishna Canal
Krishnanagar City Junction
Kurduvadi Junction
Kurla Junction
Lalkuan Junction
Lanjigarh Road Junction
Londa Junction
Lonand 
Lucknow Junction
Ludhiana Junction
Madhupur Junction
Madurai Junction
Magnesite Junction
Mahuda Junction
Mahesana Junction
Mainpuri Junction
Majri Junction
Maksi Junction
Manamadurai Junction
Mangalore Junction
Manikpur Junction
Manmad Junction
Manpur Junction
Mansi Junction
Marwar Junction
Mathela Junction
Mathura Junction
Mavli Junction}
Mayiladuthurai Junction
Merta Road Junction
Miraj Junction
Miyagam Karjan Junction
Moradabad Junction
Mudkhed Junction
Mughalsarai Jn
Muri Junction
Murtizapur Junction
Muzaffarpur Junction
Nadiad Junction
Nagbhir Junction
Nagda Junction
Nagapattinam Junction
Nagercoil Junction
Nagpur Junction
Naihati Junction
Naini Junction
Nainpur Junction
Nalhati Junction
Nandyal Junction
Narkatiaganj Junction
Narkher Junction
Naupada Junction
Neral Junction
New Cooch Behar
New Farakka Junction
New Jalpaiguri Jn
Nidadavolu Junction
Nidamangalam Junction
Nizamabad Junction
Omalur Junction
Pachora Junction
Pakala Junction
Palakkad Junction
Palanpur Junction
Panipat Junction
Panskura Jn
Panvel Junction
Parbhani
Patna Junction
Peddapalli Junction
Penukonda Junction
Peralam Junction
Phagwara
Phaphamau
Phillaur Junction
Phulera Junction
Pilibhit Jn
Podanur Junction
Pollachi Junction
Prachi Road Junction
Pratapgarh Junction
Pulgaon Jn
Pune Junction
Puntamba Junction
Purna Junction
Purulia Junction
Raichur Junction
Raipur Junction
Raj Athgarh Junction
Rajkharswan Junction
Rajkot Junction
Rajpura Junction
Rajula Junction
Ramganj Mandi Junction
Rampurhat Junction
Ranaghat Junction
Ranchi Junction
Rangiya Junction
Raniganj Junction
Raninagar Jalpaiguri Jn
Ratlam Junction
Renigunta Junction
Rewari Junction
Rohtak Junction
Rourkela Junction
Sakri Junction
Saharanpur Junction
Saharsa Junction
Sainthia Junction
Salem Junction
Samastipur Junction
Sambalpur Junction
Santragachi Jn
Sarupsar Junction
Sasaram Junction
Satna Junction
Secunderabad
Sewagram Junction
Sheoraphuli Jn
Shikohabad Junction
Shoranur Junction
Sihor Junction
Singapur Road Junction
Sirhind Junction
Sitapur Cantonment
Sitapur City Junction
Sitarampur Jn
Solapur Junction
Sonipat Junction
Sonarpur Junction
Sonnagar Jn
Sultanpur Jn
Surendranagar Jn
Tadali Jn
Talala Jn
Talvadiya Jn
Tatanagar Jn
Tenali Junction
Tenkasi Junction
Thanjavur Junction
Thiruthuraipoondi Junction
Thiruvarur Junction
Tilaiya Jn
Tiruchirappalli Junction
Tirunelveli Junction
Titlagarh Jn
Tori Jn
Tumsar Road
Udhna Jn
Ujjain Junction
Unnao Junction
Vanchi Maniyachchi Junction
Varanasi Junction
Vasad Jn
Veraval Junction
Vijayawada Junction
Vikarabad Jn
Viluppuram Junction
Viramgam Jn
Virudhunagar Junction
Visavadar Jn
Vishakapattanam Jn
Vizianagram Junction
Vriddhachalam Junction
Wadi Junction
Wardha Junction
Yerraguntla Junction
Yeshvantapur
Zafarabad Jn
